UserId,UserAvgRating,UserVisitCount,UserUniqueAttractions,UserPreferredMode,UserPreferredType
571,5.0,1,1,Couples,Landmark
572,4.0,1,1,Couples,Wildlife
574,4.0,2,1,Family,Beach
577,3.3333333333333335,3,2,Couples,Wildlife
580,5.0,1,1,Solo,Wildlife
581,5.0,2,1,Family,Water Park
583,4.666666666666667,3,2,Couples,Wildlife
584,4.0,1,1,Solo,Beach
585,5.0,3,3,Couples,Temple
590,5.0,1,1,Couples,Temple
594,5.0,1,1,Family,Wildlife
595,3.0,1,1,Friends,Beach
597,5.0,2,2,Couples,Temple
603,3.0,2,1,Couples,Wildlife
620,2.0,1,1,Couples,Beach
621,4.5,2,2,Family,Landmark
625,1.0,1,1,Couples,Beach
627,5.0,3,3,Family,Temple
630,5.0,1,1,Couples,Beach
633,4.0,2,2,Solo,Water Park
636,5.0,1,1,Solo,Wildlife
637,5.0,1,1,Solo,Landmark
638,4.0,2,2,Friends,Beach
640,5.0,1,1,Family,Water Park
646,4.0,1,1,Couples,Wildlife
648,3.0,1,1,Couples,Beach
649,5.0,1,1,Family,Water Park
652,4.0,1,1,Solo,Landmark
655,4.333333333333333,3,3,Couples,Temple
656,4.0,4,3,Family,Wildlife
657,4.333333333333333,3,3,Solo,Beach
659,5.0,1,1,Solo,National Park
664,4.0,2,2,Couples,Landmark
667,3.75,4,3,Couples,Wildlife
669,5.0,1,1,Family,Wildlife
678,3.0,1,1,Family,Temple
679,5.0,1,1,Friends,Temple
683,5.0,3,1,Friends,Museum
688,2.0,1,1,Friends,Beach
689,3.0,4,3,Couples,National Park
690,4.0,1,1,Family,Beach
691,5.0,1,1,Family,Water Park
694,4.666666666666667,3,3,Solo,Temple
697,4.0,2,2,Friends,Landmark
698,5.0,1,1,Couples,Temple
706,4.0,2,2,Family,Beach
708,4.5,2,2,Friends,Temple
716,5.0,2,2,Family,Beach
718,4.5,2,2,Family,Museum
720,5.0,1,1,Couples,Water Park
724,5.0,1,1,Couples,Landmark
726,5.0,1,1,Family,Beach
727,4.0,3,3,Family,Water Park
728,4.0,1,1,Friends,Wildlife
733,4.2,5,4,Friends,Water Park
736,4.5,2,2,Friends,Beach
739,4.0,1,1,Friends,Temple
740,5.0,3,3,Family,Landmark
741,4.666666666666667,3,3,Couples,Landmark
742,3.0,2,2,Couples,Waterfall
743,3.0,1,1,Couples,Beach
745,4.0,1,1,Couples,Wildlife
746,4.0,1,1,Friends,Beach
747,3.0,1,1,Couples,Beach
748,4.0,1,1,Friends,Wildlife
750,5.0,2,1,Couples,Temple
752,3.0,1,1,Couples,Wildlife
753,5.0,1,1,Family,Water Park
759,1.0,1,1,Couples,Waterfall
761,4.375,8,6,Family,Volcano
762,4.0,1,1,Couples,Landmark
766,4.0,2,2,Couples,Beach
767,5.0,3,3,Family,Landmark
768,3.0,1,1,Couples,Temple
770,5.0,1,1,Family,Wildlife
773,5.0,1,1,Couples,Landmark
775,1.0,1,1,Friends,Temple
776,4.0,1,1,Friends,Wildlife
778,4.0,1,1,Couples,Temple
780,4.75,4,4,Family,Beach
781,4.333333333333333,3,2,Couples,Wildlife
782,5.0,1,1,Couples,Water Park
793,4.333333333333333,3,2,Couples,Wildlife
799,5.0,1,1,Family,Water Park
800,4.0,1,1,Couples,Wildlife
804,4.0,1,1,Family,Water Park
807,4.5,4,4,Friends,Beach
810,4.5,2,2,Couples,Waterfall
812,5.0,1,1,Solo,National Park
817,5.0,1,1,Couples,Temple
823,3.3333333333333335,3,2,Solo,Wildlife
824,3.0,1,1,Friends,Beach
830,5.0,1,1,Couples,Wildlife
835,4.0,2,2,Couples,Landmark
839,5.0,1,1,Friends,Landmark
841,5.0,1,1,Family,Water Park
842,3.6666666666666665,3,3,Couples,Beach
843,5.0,1,1,Couples,Wildlife
844,5.0,1,1,Family,Beach
845,3.6,5,4,Couples,Wildlife
849,3.0,1,1,Friends,Volcano
850,4.0,1,1,Couples,Beach
851,3.0,1,1,Couples,Wildlife
857,3.0,1,1,Friends,Temple
858,5.0,2,2,Friends,Beach
864,1.0,1,1,Couples,Beach
865,3.0,1,1,Couples,Beach
868,2.0,1,1,Family,Water Park
870,1.0,1,1,Friends,Landmark
873,5.0,2,2,Family,Beach
874,5.0,1,1,Couples,Beach
877,3.0,1,1,Couples,Wildlife
878,3.5,2,2,Family,Beach
880,4.0,2,2,Couples,Waterfall
882,3.0,1,1,Family,Beach
885,3.6666666666666665,3,2,Friends,Street/Area
886,3.0,2,2,Family,Beach
888,5.0,1,1,Family,Landmark
891,2.5,4,3,Family,Wildlife
894,4.75,4,3,Family,Temple
898,5.0,1,1,Family,Beach
905,5.0,1,1,Family,Water Park
907,4.0,1,1,Solo,Wildlife
908,5.0,3,2,Couples,Water Park
918,4.2,5,3,Family,Waterfall
919,1.0,1,1,Family,Volcano
920,5.0,1,1,Friends,Beach
922,5.0,1,1,Family,Temple
927,5.0,3,2,Family,Water Park
930,5.0,2,1,Family,Wildlife
933,4.0,2,1,Couples,Beach
940,4.0,1,1,Solo,Landmark
941,3.5,2,1,Couples,Beach
942,3.0,1,1,Couples,Beach
945,4.0,1,1,Solo,Wildlife
950,5.0,1,1,Couples,Temple
954,2.0,1,1,Couples,Wildlife
956,3.75,4,3,Couples,Wildlife
960,5.0,1,1,Couples,Beach
961,5.0,1,1,Family,Landmark
962,5.0,1,1,Couples,Wildlife
966,4.75,4,3,Solo,Wildlife
970,3.0,1,1,Couples,Beach
974,4.0,1,1,Friends,Landmark
978,5.0,3,2,Family,Water Park
979,3.6,5,3,Couples,Landmark
980,5.0,1,1,Friends,Wildlife
981,4.0,2,2,Couples,Landmark
989,4.5,2,2,Couples,Temple
990,5.0,1,1,Family,Water Park
993,2.3333333333333335,3,3,Couples,Temple
995,5.0,1,1,Family,Temple
999,5.0,1,1,Couples,Wildlife
1000,4.0,1,1,Couples,Beach
1002,1.0,1,1,Couples,Beach
1009,4.142857142857143,7,4,Family,Cultural Show
1011,4.0,1,1,Couples,Temple
1018,2.5,2,2,Solo,Beach
1030,5.0,2,2,Couples,Water Park
1033,5.0,1,1,Couples,Water Park
1035,3.0,1,1,Couples,Beach
1037,3.0,1,1,Couples,Beach
1041,4.5,2,2,Couples,Water Park
1044,5.0,1,1,Family,Wildlife
1048,5.0,2,2,Couples,Beach
1059,4.0,1,1,Couples,Wildlife
1060,4.0,1,1,Solo,Temple
1061,4.0,2,2,Friends,Landmark
1062,4.0,2,2,Family,Palace
1064,5.0,1,1,Family,Wildlife
1065,4.0,1,1,Family,Wildlife
1068,4.666666666666667,3,3,Family,Beach
1074,3.5,2,2,Couples,Landmark
1079,5.0,1,1,Business,Beach
1083,4.75,4,3,Couples,Water Park
1086,5.0,2,2,Friends,Landmark
1088,4.105263157894737,19,8,Couples,Wildlife
1089,5.0,1,1,Couples,Wildlife
1094,4.0,1,1,Solo,Temple
1095,3.0,1,1,Friends,Wildlife
1097,5.0,1,1,Family,Beach
1099,3.0,2,1,Couples,Wildlife
1101,5.0,1,1,Couples,Beach
1102,5.0,1,1,Family,Landmark
1103,4.666666666666667,3,3,Friends,Beach
1105,5.0,1,1,Friends,Wildlife
1107,4.0,1,1,Couples,Temple
1114,3.5,4,2,Couples,Palace
1115,5.0,1,1,Couples,Landmark
1116,5.0,1,1,Family,Water Park
1117,5.0,1,1,Couples,Beach
1119,5.0,1,1,Couples,Temple
1122,4.0,2,2,Family,Beach
1124,4.0,1,1,Friends,Beach
1127,2.0,1,1,Family,Temple
1132,5.0,2,2,Couples,Beach
1137,5.0,1,1,Family,Beach
1148,5.0,1,1,Couples,Landmark
1150,5.0,2,1,Solo,Wildlife
1151,4.0,1,1,Family,Water Park
1152,4.25,4,4,Friends,Beach
1157,4.0,1,1,Friends,Wildlife
1161,4.0,1,1,Family,Beach
1163,1.0,1,1,Couples,Beach
1169,1.0,1,1,Couples,Beach
1170,5.0,1,1,Friends,Beach
1171,5.0,2,2,Couples,Beach
1175,5.0,2,1,Couples,Wildlife
1180,5.0,1,1,Couples,Temple
1188,5.0,1,1,Friends,Beach
1190,5.0,1,1,Solo,Wildlife
1196,4.0,1,1,Couples,Beach
1202,3.0,1,1,Friends,Beach
1205,2.5,2,2,Couples,Landmark
1206,5.0,1,1,Couples,Landmark
1208,5.0,2,2,Friends,Landmark
1210,4.0,1,1,Family,Landmark
1212,2.5,2,2,Family,Beach
1214,4.5,2,2,Couples,Landmark
1215,4.5,4,3,Family,Temple
1216,3.5,4,2,Couples,Beach
1218,3.0,1,1,Couples,Waterfall
1219,5.0,1,1,Couples,Wildlife
1221,3.0,3,1,Family,Beach
1222,5.0,1,1,Couples,Beach
1226,4.0,3,2,Friends,Temple
1228,5.0,5,5,Couples,Temple
1231,5.0,1,1,Family,Wildlife
1232,4.0,1,1,Couples,Temple
1237,5.0,1,1,Couples,Water Park
1240,4.0,1,1,Couples,Landmark
1244,5.0,1,1,Family,Wildlife
1245,4.0,1,1,Family,Temple
1249,4.0,1,1,Couples,Wildlife
1252,4.5,2,2,Couples,Beach
1255,4.0,1,1,Couples,Beach
1257,4.0,1,1,Family,Water Park
1258,4.0,1,1,Family,Wildlife
1265,2.6666666666666665,3,2,Family,Beach
1269,5.0,1,1,Couples,Beach
1271,3.0,2,1,Couples,Temple
1274,1.0,1,1,Couples,Wildlife
1275,5.0,1,1,Friends,Water Park
1278,5.0,1,1,Couples,Wildlife
1280,4.5,2,2,Couples,Waterfall
1281,5.0,1,1,Couples,Wildlife
1283,5.0,1,1,Family,Wildlife
1286,4.0,1,1,Friends,Wildlife
1287,3.0,2,2,Couples,Beach
1288,4.666666666666667,3,2,Family,Wildlife
1291,5.0,1,1,Family,Wildlife
1292,5.0,1,1,Family,Water Park
1293,4.0,1,1,Family,Beach
1296,4.0,1,1,Family,Wildlife
1299,4.5,2,2,Couples,Waterfall
1301,3.0,1,1,Solo,Wildlife
1307,5.0,2,2,Couples,Landmark
1310,3.0,1,1,Family,Waterfall
1316,5.0,1,1,Family,Temple
1318,3.0,1,1,Friends,Water Park
1319,4.0,1,1,Family,Beach
1320,5.0,2,2,Couples,Landmark
1328,2.0,2,1,Friends,Beach
1329,4.0,1,1,Couples,Wildlife
1331,5.0,1,1,Solo,Water Park
1332,4.0,1,1,Couples,Landmark
1333,4.0,1,1,Couples,Wildlife
1334,5.0,1,1,Friends,Wildlife
1335,4.0,1,1,Couples,Beach
1341,1.0,1,1,Couples,Beach
1342,4.0,3,3,Family,Water Park
1343,3.0,2,1,Couples,Beach
1345,4.0,1,1,Couples,Water Park
1346,5.0,1,1,Friends,Wildlife
1356,5.0,2,2,Couples,Water Park
1358,3.0,2,2,Family,Beach
1359,4.0,1,1,Solo,Landmark
1362,4.0,1,1,Family,Water Park
1364,3.0,1,1,Family,Beach
1366,5.0,1,1,Family,Water Park
1367,3.5,2,2,Friends,Waterfall
1368,3.0,2,2,Couples,Beach
1373,4.0,1,1,Family,Beach
1374,3.0,2,2,Solo,Beach
1375,4.0,1,1,Couples,Beach
1377,4.5,2,2,Friends,Water Park
1384,4.0,1,1,Family,Beach
1387,4.0,1,1,Friends,Wildlife
1391,5.0,1,1,Family,Water Park
1396,4.0,1,1,Couples,Wildlife
1398,4.0,1,1,Family,Wildlife
1401,5.0,1,1,Family,Beach
1403,5.0,1,1,Friends,Wildlife
1406,1.0,1,1,Couples,Beach
1407,5.0,1,1,Couples,Wildlife
1410,3.0,1,1,Couples,Wildlife
1416,3.0,3,3,Family,Landmark
1418,5.0,1,1,Friends,Temple
1420,5.0,1,1,Couples,Water Park
1423,5.0,1,1,Couples,Wildlife
1428,4.5,2,2,Friends,Landmark
1433,4.0,2,2,Couples,Beach
1436,3.0,1,1,Friends,National Park
1440,5.0,2,1,Couples,Wildlife
1441,5.0,1,1,Family,Wildlife
1445,5.0,1,1,Couples,Beach
1446,5.0,1,1,Family,Water Park
1448,4.4,5,2,Couples,Wildlife
1451,5.0,1,1,Couples,Water Park
1452,3.2,5,4,Solo,Street/Area
1453,4.0,2,1,Family,Temple
1456,4.0,2,2,Friends,Water Park
1459,4.666666666666667,3,3,Family,Landmark
1460,4.0,1,1,Couples,Wildlife
1471,4.0,1,1,Couples,Temple
1473,1.0,1,1,Family,Beach
1474,5.0,1,1,Family,Wildlife
1478,2.5,2,2,Couples,Temple
1482,3.5,2,2,Family,Beach
1485,3.0,1,1,Couples,Beach
1486,5.0,1,1,Family,Wildlife
1492,4.0,1,1,Couples,Wildlife
1493,3.0,1,1,Couples,Wildlife
1495,4.333333333333333,3,1,Couples,Beach
1497,4.428571428571429,7,4,Family,Water Park
1501,5.0,1,1,Family,Water Park
1505,4.0,1,1,Friends,Temple
1508,4.0,1,1,Family,Beach
1509,2.5,2,2,Friends,Landmark
1511,5.0,4,4,Couples,Landmark
1512,3.0,1,1,Couples,Beach
1521,5.0,2,2,Family,Landmark
1524,4.0,2,1,Couples,Water Park
1526,4.0,1,1,Family,Wildlife
1529,4.0,1,1,Family,Beach
1531,5.0,1,1,Couples,Water Park
1533,5.0,1,1,Couples,Wildlife
1535,1.0,1,1,Couples,Beach
1536,4.0,1,1,Couples,Wildlife
1537,4.0,3,2,Family,Landmark
1538,5.0,1,1,Couples,Temple
1539,4.0,1,1,Couples,Wildlife
1540,3.0,3,3,Couples,Landmark
1545,5.0,1,1,Friends,Wildlife
1548,4.0,1,1,Friends,Beach
1555,5.0,2,1,Family,Wildlife
1558,5.0,1,1,Family,Temple
1561,5.0,2,2,Friends,Beach
1564,5.0,1,1,Couples,Wildlife
1568,4.5,2,2,Couples,Beach
1572,4.0,1,1,Family,Waterfall
1573,3.8,5,4,Family,Beach
1578,3.0,1,1,Couples,Temple
1583,5.0,1,1,Family,Water Park
1586,4.0,1,1,Couples,Beach
1587,5.0,1,1,Solo,Waterfall
1588,5.0,2,2,Family,Water Park
1589,1.0,1,1,Couples,Wildlife
1590,1.0,1,1,Solo,Wildlife
1594,5.0,2,1,Family,Water Park
1595,3.5,4,3,Friends,Palace
1599,5.0,1,1,Family,Beach
1608,3.0,1,1,Couples,Waterfall
1609,4.5,2,2,Couples,Temple
1620,4.0,2,2,Couples,Landmark
1623,4.0,1,1,Family,Wildlife
1625,4.0,3,3,Family,Beach
1634,5.0,1,1,Family,Temple
1636,4.0,1,1,Family,National Park
1638,5.0,5,3,Couples,Water Park
1639,5.0,2,1,Family,Water Park
1645,5.0,1,1,Friends,Temple
1646,4.0,1,1,Friends,Wildlife
1647,4.0,1,1,Couples,Wildlife
1649,4.25,4,3,Couples,Landmark
1659,5.0,1,1,Family,Landmark
1661,3.0,1,1,Couples,Water Park
1664,4.0,1,1,Couples,Beach
1665,5.0,1,1,Family,Beach
1666,4.6,5,3,Couples,Wildlife
1667,3.0,1,1,Couples,Beach
1672,3.0,1,1,Friends,Beach
1676,4.2,5,4,Friends,Beach
1678,5.0,1,1,Family,Wildlife
1684,3.6666666666666665,3,3,Friends,Beach
1689,5.0,1,1,Solo,Beach
1692,5.0,1,1,Family,Temple
1697,4.0,1,1,Friends,Wildlife
1698,4.0,3,3,Solo,Temple
1700,5.0,1,1,Couples,Wildlife
1701,5.0,2,2,Couples,Waterfall
1702,4.0,1,1,Friends,Beach
1707,4.0,1,1,Couples,Wildlife
1709,2.6,5,4,Solo,Beach
1710,5.0,1,1,Couples,Wildlife
1711,3.0,1,1,Solo,Beach
1713,3.0,1,1,Friends,Waterfall
1715,4.0,1,1,Family,Water Park
1720,3.0,2,2,Couples,Temple
1723,5.0,1,1,Family,Wildlife
1724,4.5,2,2,Family,Beach
1725,4.0,1,1,Family,Water Park
1728,4.0,1,1,Couples,Beach
1729,4.166666666666667,6,4,Couples,Beach
1737,5.0,1,1,Couples,Wildlife
1738,4.0,1,1,Couples,Beach
1747,4.666666666666667,3,2,Family,Wildlife
1748,3.0,3,3,Couples,Landmark
1754,2.6666666666666665,3,3,Family,Landmark
1755,4.0,1,1,Couples,Beach
1757,5.0,3,3,Couples,Landmark
1760,5.0,1,1,Couples,Wildlife
1763,5.0,1,1,Friends,Wildlife
1766,4.0,1,1,Couples,Landmark
1771,5.0,1,1,Couples,Wildlife
1780,4.0,1,1,Friends,Beach
1792,4.0,1,1,Solo,Wildlife
1798,4.0,1,1,Family,Temple
1803,3.0,1,1,Friends,Beach
1810,4.6,5,4,Family,Wildlife
1813,3.0,2,2,Family,Landmark
1817,3.0,1,1,Couples,Beach
1826,4.0,1,1,Family,Water Park
1827,4.333333333333333,3,3,Friends,Beach
1829,5.0,1,1,Family,Water Park
1830,5.0,1,1,Couples,Landmark
1833,5.0,1,1,Family,Water Park
1835,5.0,2,2,Couples,Beach
1839,4.0,1,1,Family,Temple
1842,4.0,1,1,Friends,Wildlife
1844,5.0,2,1,Solo,Temple
1845,5.0,4,4,Family,Beach
1847,5.0,1,1,Family,Water Park
1850,3.0,1,1,Couples,Beach
1853,5.0,1,1,Friends,Temple
1867,4.0,1,1,Friends,Wildlife
1869,5.0,1,1,Couples,Landmark
1871,5.0,1,1,Couples,Wildlife
1873,4.5,2,2,Friends,Landmark
1878,4.0,3,3,Couples,Landmark
1879,4.0,1,1,Family,Wildlife
1886,2.0,1,1,Couples,Beach
1888,5.0,1,1,Solo,Wildlife
1889,4.0,1,1,Solo,Wildlife
1891,5.0,4,4,Couples,Landmark
1896,5.0,1,1,Friends,Beach
1898,4.0,1,1,Family,Beach
1900,4.4,5,4,Couples,Wildlife
1905,5.0,1,1,Couples,Water Park
1909,2.0,1,1,Solo,Landmark
1914,4.0,1,1,Friends,Wildlife
1917,4.0,1,1,Family,Wildlife
1920,5.0,1,1,Friends,Wildlife
1921,4.0,1,1,Friends,Wildlife
1928,5.0,1,1,Family,Water Park
1929,4.0,1,1,Friends,Beach
1932,5.0,2,1,Friends,Landmark
1936,5.0,1,1,Friends,Water Park
1940,5.0,1,1,Friends,Water Park
1941,4.0,18,7,Family,Beach
1943,5.0,1,1,Business,Landmark
1945,4.0,2,1,Couples,Wildlife
1948,4.333333333333333,3,3,Friends,Beach
1952,5.0,1,1,Family,Wildlife
1953,4.333333333333333,3,2,Friends,Wildlife
1962,5.0,1,1,Friends,Landmark
1963,4.0,1,1,Family,Water Park
1965,4.0,1,1,Couples,Wildlife
1968,4.5,2,2,Couples,Beach
1972,5.0,1,1,Family,Beach
1976,4.0,1,1,Family,Temple
1986,3.75,4,2,Family,Temple
1989,4.0,2,2,Couples,Water Park
1992,2.5,2,2,Family,Beach
1999,3.0,1,1,Family,Wildlife
2002,3.0,1,1,Family,Beach
2003,4.5,2,2,Couples,Beach
2011,3.6666666666666665,3,3,Couples,Beach
2012,5.0,1,1,Family,Temple
2013,4.0,1,1,Family,Landmark
2014,5.0,2,2,Couples,Beach
2016,5.0,1,1,Couples,Beach
2017,3.0,1,1,Couples,Waterfall
2022,3.5,2,2,Family,Landmark
2024,4.0,1,1,Family,Beach
2028,4.0,1,1,Family,Water Park
2029,5.0,1,1,Couples,Beach
2032,5.0,1,1,Family,Water Park
2033,4.0,2,2,Friends,Beach
2035,4.0,2,2,Family,Beach
2039,4.333333333333333,3,3,Couples,Landmark
2041,5.0,1,1,Friends,Water Park
2046,5.0,1,1,Solo,Wildlife
2047,5.0,2,1,Family,Water Park
2049,5.0,2,1,Couples,Wildlife
2054,4.333333333333333,3,3,Couples,Beach
2055,5.0,1,1,Couples,Wildlife
2056,4.5,2,2,Family,Landmark
2061,3.5,2,2,Couples,Beach
2063,2.0,1,1,Couples,Landmark
2066,5.0,1,1,Couples,Wildlife
2069,5.0,1,1,Couples,Beach
2071,4.0,1,1,Couples,Wildlife
2074,3.0,1,1,Friends,Wildlife
2082,4.0,2,2,Friends,Beach
2086,3.0,1,1,Couples,Beach
2089,5.0,1,1,Family,Water Park
2094,5.0,1,1,Family,Wildlife
2097,4.5,2,2,Couples,Waterfall
2102,3.0,1,1,Family,Wildlife
2105,5.0,1,1,Couples,Wildlife
2107,5.0,1,1,Family,Water Park
2108,4.666666666666667,3,2,Friends,Wildlife
2110,4.666666666666667,3,2,Family,Beach
2113,1.0,1,1,Family,Temple
2116,5.0,1,1,Couples,Museum
2118,4.0,2,2,Couples,Beach
2119,4.0,1,1,Couples,Landmark
2121,4.0,1,1,Friends,Water Park
2125,4.0,1,1,Couples,Wildlife
2126,4.0,1,1,Family,Landmark
2129,5.0,2,2,Couples,Landmark
2130,5.0,1,1,Family,Water Park
2131,2.6666666666666665,3,3,Couples,Beach
2138,3.0,1,1,Couples,Beach
2139,4.5,2,1,Family,Water Park
2149,4.0,1,1,Friends,Wildlife
2155,5.0,2,2,Family,Temple
2157,3.0,1,1,Friends,Beach
